Round,Accuracy,Average Loss
1,10.00,2.3021
2,28.36,2.0854
3,45.56,1.4390
4,55.21,1.2091
5,61.95,1.0473
6,66.77,0.9331
7,69.98,0.8447
8,72.71,0.7712
9,74.83,0.7221
10,76.61,0.6765
11,78.47,0.6343
12,79.53,0.6149
13,80.74,0.5695
14,81.31,0.5493
15,82.15,0.5324
16,82.66,0.5234
17,83.70,0.5049
18,83.83,0.4980
19,84.44,0.4769
20,84.84,0.4690
21,85.04,0.4743
22,85.08,0.4622
23,85.52,0.4565
24,85.65,0.4622
25,86.12,0.4466
26,86.02,0.4468
27,85.72,0.4634
28,86.95,0.4338
29,86.47,0.4441
30,86.58,0.4483
31,87.05,0.4501
32,86.88,0.4385
33,86.84,0.4393
34,87.15,0.4393
35,87.57,0.4316
36,87.02,0.4449
37,87.53,0.4400
38,87.42,0.4395
39,87.62,0.4343
40,87.59,0.4331
41,87.62,0.4490
42,87.59,0.4431
43,87.90,0.4577
44,87.60,0.4524
45,87.81,0.4378
46,87.78,0.4550
47,87.68,0.4532
48,87.67,0.4584
49,88.03,0.4406
50,88.02,0.4480
