Round,Accuracy,Average Loss
1,10.02,2.3026
2,20.82,2.1685
3,24.21,1.8889
4,27.24,1.8089
5,31.95,1.7223
6,36.49,1.6294
7,40.66,1.5400
8,43.66,1.4504
9,46.69,1.3867
10,50.33,1.3065
11,52.43,1.2578
12,55.88,1.1952
13,57.52,1.1344
14,61.07,1.0715
15,63.38,1.0170
16,64.97,0.9768
17,66.39,0.9397
18,68.12,0.8975
19,68.85,0.8743
20,69.83,0.8504
21,71.32,0.8103
22,71.45,0.8045
23,72.84,0.7700
24,73.25,0.7651
25,74.07,0.7469
26,75.18,0.7167
27,75.53,0.7086
28,76.56,0.6797
29,76.96,0.6684
30,77.74,0.6487
31,77.88,0.6398
32,78.44,0.6199
33,79.29,0.6146
34,79.33,0.6118
35,79.79,0.5984
36,80.16,0.5914
37,80.66,0.5733
38,80.80,0.5652
39,81.39,0.5553
40,81.42,0.5567
41,81.55,0.5511
42,81.95,0.5417
43,81.77,0.5319
44,82.32,0.5310
45,82.34,0.5262
46,82.58,0.5231
47,83.13,0.5133
48,83.14,0.5092
49,83.00,0.5139
50,82.89,0.5098
51,83.64,0.4928
52,84.04,0.4895
53,84.07,0.4906
54,83.99,0.4866
55,83.95,0.4836
56,84.20,0.4748
57,84.20,0.4739
58,84.07,0.4776
59,84.77,0.4636
60,84.68,0.4624
61,84.83,0.4605
62,84.52,0.4695
63,84.78,0.4606
64,85.00,0.4617
65,85.15,0.4523
66,85.22,0.4566
67,85.47,0.4447
68,85.49,0.4501
69,85.50,0.4427
70,85.21,0.4527
71,85.63,0.4452
72,85.68,0.4385
73,85.28,0.4477
74,85.50,0.4474
75,85.24,0.4490
76,85.67,0.4414
77,85.41,0.4364
78,85.98,0.4348
79,85.56,0.4337
80,86.21,0.4301
81,86.04,0.4345
82,85.99,0.4305
83,86.00,0.4422
84,85.67,0.4370
85,86.09,0.4277
86,86.22,0.4321
87,85.86,0.4397
88,86.51,0.4290
89,86.44,0.4274
90,86.17,0.4359
91,86.56,0.4178
92,86.68,0.4220
93,86.60,0.4255
94,86.72,0.4204
95,86.43,0.4159
96,86.53,0.4324
97,86.91,0.4284
98,86.85,0.4207
99,86.74,0.4209
100,86.31,0.4202
101,86.70,0.4330
102,86.82,0.4249
103,86.72,0.4334
104,86.54,0.4317
105,86.93,0.4253
106,86.54,0.4296
107,86.74,0.4343
108,86.44,0.4316
109,87.31,0.4149
110,86.89,0.4300
111,86.90,0.4233
112,86.41,0.4347
113,86.76,0.4379
114,87.30,0.4111
115,87.27,0.4363
116,86.72,0.4395
117,86.74,0.4327
118,86.97,0.4418
119,86.59,0.4396
120,87.06,0.4346
121,87.15,0.4260
122,87.17,0.4220
123,87.29,0.4381
124,86.63,0.4413
125,87.24,0.4281
126,86.92,0.4511
127,86.89,0.4428
128,87.26,0.4348
129,87.06,0.4345
130,87.47,0.4207
131,87.45,0.4444
132,86.93,0.4351
133,87.10,0.4526
134,87.42,0.4482
135,87.34,0.4446
136,87.12,0.4348
137,87.20,0.4389
138,87.26,0.4396
139,86.98,0.4477
140,87.13,0.4439
141,87.50,0.4344
142,87.54,0.4346
143,87.20,0.4579
144,87.43,0.4612
145,87.40,0.4441
146,87.40,0.4431
147,87.21,0.4502
148,87.41,0.4511
149,87.21,0.4510
150,87.63,0.4571
151,87.14,0.4540
152,87.58,0.4505
153,87.27,0.4504
154,87.33,0.4550
155,87.52,0.4524
156,87.07,0.4765
157,87.50,0.4617
158,87.11,0.4735
159,87.20,0.4515
160,87.28,0.4743
161,87.10,0.4542
162,87.21,0.4685
163,87.74,0.4496
164,87.40,0.4657
165,87.67,0.4687
166,87.66,0.4608
167,87.43,0.4643
168,87.59,0.4755
169,88.01,0.4576
170,87.78,0.4639
171,87.43,0.4582
172,87.55,0.4736
173,87.95,0.4535
174,87.46,0.4808
175,87.57,0.4740
176,87.49,0.4747
177,87.46,0.4698
178,87.64,0.4789
179,87.41,0.4803
180,87.50,0.4715
181,87.44,0.4808
182,87.27,0.4878
183,87.79,0.4785
184,87.72,0.4782
185,87.74,0.4764
186,87.59,0.5015
187,87.50,0.4891
188,87.80,0.4947
189,87.73,0.4722
190,87.02,0.5075
191,87.39,0.4884
192,87.94,0.4820
193,87.82,0.5040
194,87.33,0.4768
195,87.87,0.4928
196,87.69,0.4904
197,87.96,0.4703
198,87.99,0.5005
199,87.60,0.5001
200,87.96,0.5042
