Round,Accuracy,Average Loss
1,10.00,2.3027
2,19.25,2.0393
3,21.66,2.0945
4,23.36,2.0009
5,24.12,1.9802
6,26.29,1.9926
7,31.27,1.8290
8,33.04,1.8064
9,38.39,1.6327
10,39.90,1.6046
11,46.48,1.4275
12,45.06,1.5074
13,47.72,1.3834
14,46.91,1.4440
15,50.93,1.3516
16,49.56,1.4204
17,54.63,1.3130
18,50.48,1.3797
19,57.52,1.2299
20,55.06,1.2522
21,61.58,1.0962
22,58.61,1.2283
23,63.68,1.0586
24,63.02,1.0800
25,66.67,0.9687
26,63.75,1.0639
27,68.39,0.9337
28,65.31,0.9989
29,70.28,0.8727
30,68.88,0.9270
31,71.74,0.8302
32,71.60,0.8424
33,73.18,0.7834
34,72.40,0.8232
35,74.25,0.7758
36,73.58,0.7780
37,75.28,0.7438
38,73.60,0.7851
39,75.93,0.7383
40,74.20,0.7648
41,76.44,0.6938
42,76.68,0.6968
43,76.64,0.7091
44,75.00,0.7398
45,76.30,0.7386
46,76.50,0.7005
47,76.87,0.7402
48,76.84,0.6878
49,76.16,0.7648
50,76.53,0.6966
51,76.40,0.7683
52,76.76,0.6891
53,76.15,0.8027
54,76.15,0.7089
55,77.41,0.7361
56,77.70,0.6462
57,78.82,0.6806
58,79.30,0.6201
59,78.86,0.6966
60,78.59,0.6300
61,78.60,0.6981
62,77.61,0.6682
63,79.61,0.6523
64,78.51,0.6454
65,79.35,0.6950
66,78.46,0.6518
67,80.52,0.6529
68,77.84,0.6774
69,78.43,0.7045
70,75.61,0.7690
71,80.27,0.6640
72,76.29,0.7797
73,79.95,0.6493
74,77.80,0.7125
75,79.96,0.6699
76,76.46,0.7430
77,79.76,0.6991
78,76.71,0.7520
79,80.65,0.6511
80,77.70,0.6951
81,80.49,0.6750
82,79.44,0.6369
83,81.52,0.6749
84,78.91,0.6462
85,80.67,0.7042
86,79.80,0.6209
87,81.77,0.6358
88,80.33,0.5937
89,81.51,0.6436
90,80.09,0.6298
91,82.09,0.6042
92,79.54,0.6480
93,81.55,0.6297
94,80.54,0.6229
95,82.72,0.6208
96,80.48,0.6149
97,81.97,0.6522
98,81.30,0.5735
99,82.03,0.6252
100,81.69,0.5591
101,82.58,0.6251
102,81.63,0.5625
103,82.90,0.6178
104,82.16,0.5621
105,81.55,0.6740
106,81.51,0.5709
107,82.65,0.6536
108,82.15,0.5404
109,83.10,0.6676
110,82.24,0.5452
111,83.46,0.6463
112,82.30,0.5393
113,83.40,0.6831
114,81.84,0.5567
115,83.30,0.6804
116,82.80,0.5184
117,83.89,0.6504
118,82.69,0.5222
119,84.01,0.6270
120,82.93,0.5259
121,84.06,0.6726
122,83.06,0.5171
123,84.08,0.6510
124,82.50,0.5360
125,84.18,0.6637
126,83.44,0.5089
127,83.69,0.7113
128,82.42,0.5220
129,83.70,0.7083
130,82.86,0.5134
131,84.40,0.6962
132,83.66,0.4945
133,84.14,0.7458
134,83.80,0.4922
135,83.93,0.7631
136,83.63,0.4902
137,84.23,0.7765
138,83.74,0.4926
139,84.12,0.7610
140,83.75,0.4949
141,83.95,0.7564
142,83.95,0.4897
143,84.08,0.7953
144,83.36,0.4944
145,84.45,0.8306
146,83.58,0.4880
147,84.09,0.8656
148,82.74,0.4973
149,83.76,0.8775
150,83.87,0.4881
151,85.07,0.8161
152,83.84,0.4892
153,84.82,0.7766
154,84.62,0.4715
155,85.13,0.7876
156,84.43,0.4664
157,85.16,0.8000
158,84.38,0.4734
159,85.46,0.7799
160,83.91,0.5008
161,85.10,0.7932
162,83.42,0.5126
163,84.54,0.8218
164,84.15,0.4771
165,84.82,0.8759
166,83.64,0.5048
167,84.57,0.9104
168,83.22,0.5068
169,84.09,0.9531
170,83.54,0.5026
171,85.40,0.8270
172,83.78,0.4856
173,84.74,0.8439
174,83.94,0.4896
175,84.62,0.8157
176,83.97,0.4982
177,84.96,0.8169
178,84.13,0.5057
179,85.10,0.7984
180,84.00,0.5074
181,85.34,0.7670
182,83.25,0.5494
183,85.29,0.7396
184,84.00,0.5305
185,85.68,0.7247
186,83.53,0.5465
187,85.83,0.7532
188,83.63,0.5347
189,85.90,0.7267
190,84.07,0.5357
191,85.86,0.7425
192,84.33,0.5299
193,85.97,0.7057
194,83.99,0.5266
195,86.12,0.7525
196,84.61,0.5164
197,86.38,0.7214
198,84.76,0.5113
199,86.39,0.7338
200,84.04,0.5329
