Round,Accuracy,Average Loss
1,10.09,2.3052
2,10.08,2.3048
3,10.09,2.3042
4,10.12,2.3035
5,10.15,2.3026
6,10.23,2.3014
7,10.29,2.3001
8,10.38,2.2985
9,10.58,2.2964
10,10.83,2.2940
11,11.17,2.2910
12,11.78,2.2879
13,12.04,2.2840
14,13.19,2.2797
15,13.81,2.2747
16,14.56,2.2689
17,15.51,2.2625
18,16.64,2.2555
19,17.36,2.2476
20,18.48,2.2388
21,19.41,2.2293
22,20.80,2.2187
23,22.37,2.2071
24,24.26,2.1945
25,26.08,2.1807
26,27.91,2.1660
27,30.42,2.1498
28,32.69,2.1332
29,35.35,2.1148
30,38.49,2.0955
31,41.92,2.0751
32,45.62,2.0534
33,48.66,2.0313
34,51.82,2.0077
35,54.83,1.9829
36,57.55,1.9572
37,59.92,1.9308
38,62.70,1.9030
39,64.07,1.8750
40,66.29,1.8457
41,67.88,1.8158
42,69.71,1.7852
43,71.03,1.7540
44,72.53,1.7226
45,74.10,1.6898
46,75.30,1.6568
47,76.64,1.6237
48,77.66,1.5897
49,78.69,1.5566
50,79.32,1.5230
51,79.99,1.4898
52,81.18,1.4550
53,81.92,1.4213
54,83.03,1.3868
55,83.57,1.3536
56,83.78,1.3218
57,84.30,1.2884
58,84.97,1.2553
59,85.66,1.2226
60,85.89,1.1914
61,86.44,1.1595
62,86.84,1.1288
63,87.29,1.0991
64,87.66,1.0688
65,88.30,1.0383
66,88.33,1.0114
67,88.55,0.9835
68,88.98,0.9560
69,89.17,0.9312
70,89.50,0.9043
71,89.57,0.8803
72,89.82,0.8554
73,90.04,0.8311
74,90.22,0.8084
75,90.35,0.7868
76,90.69,0.7639
77,90.77,0.7434
78,90.93,0.7231
79,91.08,0.7041
80,91.21,0.6855
81,91.32,0.6678
82,91.47,0.6498
83,91.53,0.6347
84,91.59,0.6180
85,91.75,0.6015
86,91.87,0.5856
87,92.04,0.5706
88,92.10,0.5578
89,92.35,0.5432
90,92.34,0.5312
91,92.49,0.5185
92,92.52,0.5062
93,92.58,0.4945
94,92.61,0.4837
95,92.69,0.4719
96,92.79,0.4612
97,92.82,0.4509
98,92.88,0.4419
99,93.02,0.4317
100,92.98,0.4236
101,93.13,0.4142
102,93.14,0.4066
103,93.20,0.3975
104,93.23,0.3902
105,93.28,0.3824
106,93.34,0.3751
107,93.37,0.3677
108,93.48,0.3600
109,93.45,0.3550
110,93.55,0.3477
111,93.62,0.3412
112,93.60,0.3358
113,93.65,0.3308
114,93.67,0.3251
115,93.72,0.3188
116,93.78,0.3144
117,93.85,0.3087
118,93.78,0.3043
119,93.85,0.2997
120,93.88,0.2950
121,93.96,0.2904
122,94.07,0.2854
123,94.06,0.2814
124,94.09,0.2777
125,94.09,0.2739
126,94.19,0.2700
127,94.12,0.2669
128,94.21,0.2625
129,94.24,0.2590
130,94.24,0.2560
131,94.34,0.2523
132,94.31,0.2499
133,94.33,0.2470
134,94.42,0.2426
135,94.46,0.2400
136,94.48,0.2370
137,94.51,0.2348
138,94.61,0.2314
139,94.67,0.2288
140,94.61,0.2268
141,94.64,0.2242
142,94.73,0.2213
143,94.73,0.2195
144,94.67,0.2173
145,94.75,0.2150
146,94.79,0.2127
147,94.83,0.2098
148,94.82,0.2083
149,94.86,0.2064
150,94.90,0.2042
151,94.91,0.2027
152,94.91,0.2011
153,94.95,0.1992
154,95.00,0.1969
155,95.01,0.1950
156,95.04,0.1929
157,95.08,0.1917
158,95.07,0.1907
159,95.05,0.1887
160,95.12,0.1872
161,95.15,0.1854
162,95.19,0.1840
163,95.22,0.1824
164,95.28,0.1810
165,95.28,0.1798
166,95.31,0.1782
167,95.30,0.1771
168,95.35,0.1759
169,95.36,0.1740
170,95.37,0.1730
171,95.40,0.1719
172,95.44,0.1709
173,95.40,0.1700
174,95.49,0.1684
175,95.50,0.1670
176,95.49,0.1656
177,95.52,0.1650
178,95.54,0.1637
179,95.57,0.1627
180,95.54,0.1614
181,95.58,0.1604
182,95.60,0.1593
183,95.64,0.1584
184,95.63,0.1573
185,95.69,0.1565
186,95.68,0.1550
187,95.71,0.1546
188,95.71,0.1535
189,95.74,0.1525
190,95.74,0.1516
191,95.77,0.1508
192,95.76,0.1501
193,95.80,0.1492
194,95.81,0.1482
195,95.81,0.1476
196,95.85,0.1468
197,95.89,0.1458
198,95.88,0.1450
199,95.92,0.1441
200,95.95,0.1436
