Round,Accuracy,Average Loss
1,10.20,2.3016
2,20.89,2.1638
3,26.64,1.8334
4,33.32,1.7051
5,37.62,1.5946
6,43.46,1.4721
7,46.49,1.3882
8,51.80,1.2835
9,55.16,1.2081
10,57.48,1.1407
11,61.34,1.0513
12,63.51,1.0075
13,65.35,0.9574
14,66.88,0.9242
15,68.53,0.8796
16,69.46,0.8566
17,70.34,0.8225
18,71.32,0.7980
19,72.62,0.7714
20,73.35,0.7514
21,74.33,0.7281
22,75.40,0.7058
23,75.76,0.6827
24,76.74,0.6643
25,77.30,0.6503
26,78.06,0.6263
27,78.30,0.6185
28,79.07,0.6044
29,79.53,0.5942
30,80.11,0.5776
31,80.81,0.5647
32,80.96,0.5589
33,81.61,0.5488
34,81.74,0.5401
35,82.25,0.5261
36,82.42,0.5254
37,82.40,0.5171
38,83.09,0.5126
39,83.28,0.5008
40,83.38,0.4976
41,83.84,0.4834
42,83.45,0.4890
43,83.90,0.4756
44,84.06,0.4831
45,84.15,0.4742
46,84.48,0.4659
47,84.13,0.4731
48,84.52,0.4571
49,84.84,0.4605
50,85.11,0.4509
51,85.09,0.4470
52,85.11,0.4591
53,85.51,0.4435
54,85.45,0.4397
55,85.86,0.4302
56,85.84,0.4448
57,85.92,0.4346
58,85.71,0.4356
59,86.13,0.4346
60,85.81,0.4359
61,86.58,0.4184
62,86.02,0.4153
63,86.64,0.4202
64,86.40,0.4136
65,86.34,0.4136
66,86.72,0.4166
67,86.76,0.4097
68,86.86,0.4157
69,87.09,0.4050
70,86.40,0.4253
71,86.58,0.4166
72,86.89,0.4089
73,87.04,0.4165
74,86.77,0.4105
75,87.08,0.4141
76,86.74,0.4075
77,87.09,0.4073
78,87.10,0.4101
79,87.00,0.4100
80,87.82,0.4058
81,87.10,0.4073
82,87.44,0.4039
83,87.20,0.4123
84,87.70,0.4014
85,87.68,0.4086
86,87.43,0.4200
87,87.26,0.4029
88,87.19,0.4194
89,87.24,0.4117
90,87.48,0.3990
91,87.62,0.4041
92,87.72,0.4108
93,87.44,0.4130
94,87.61,0.4148
95,87.90,0.4128
96,87.90,0.4075
97,87.89,0.4070
98,87.71,0.4104
99,87.32,0.4173
100,87.86,0.4165
101,87.85,0.4162
102,87.97,0.4165
103,87.78,0.4230
104,87.84,0.4193
105,88.26,0.4000
106,88.08,0.4152
107,87.93,0.4126
108,87.78,0.4253
109,87.61,0.4327
110,87.85,0.4198
111,87.78,0.4282
112,87.94,0.4148
113,87.98,0.4132
114,87.92,0.4153
115,88.26,0.4140
116,87.90,0.4332
117,88.23,0.4177
118,88.15,0.4341
119,87.98,0.4277
120,88.15,0.4367
121,88.10,0.4298
122,88.21,0.4345
123,87.60,0.4486
124,88.15,0.4440
125,87.95,0.4386
