Round,Accuracy,Average Loss
1,6.33,2.3094
2,6.63,2.3087
3,6.93,2.3079
4,7.27,2.3070
5,7.58,2.3060
6,8.01,2.3049
7,8.39,2.3038
8,8.94,2.3025
9,9.40,2.3010
10,9.78,2.2996
11,10.16,2.2978
12,10.51,2.2960
13,10.97,2.2943
14,11.28,2.2923
15,11.81,2.2902
16,11.96,2.2881
17,12.33,2.2858
18,12.73,2.2832
19,13.13,2.2807
20,13.50,2.2780
21,13.85,2.2751
22,14.33,2.2722
23,14.91,2.2691
24,15.99,2.2657
25,16.77,2.2623
26,17.84,2.2587
27,18.51,2.2549
28,19.35,2.2509
29,20.29,2.2470
30,21.78,2.2428
31,23.06,2.2386
32,25.76,2.2338
33,27.11,2.2291
34,29.64,2.2242
35,31.49,2.2190
36,33.07,2.2137
37,35.73,2.2084
38,37.64,2.2027
39,39.71,2.1967
40,41.39,2.1908
41,42.97,2.1845
42,44.68,2.1782
43,46.60,2.1716
44,48.12,2.1652
45,49.89,2.1581
46,51.28,2.1514
47,52.64,2.1443
48,53.85,2.1369
49,54.94,2.1297
50,55.92,2.1220
51,57.11,2.1143
52,58.31,2.1064
53,59.33,2.0986
54,60.09,2.0904
55,61.36,2.0821
56,61.90,2.0739
57,63.09,2.0654
58,64.04,2.0568
59,64.48,2.0481
60,65.44,2.0392
61,66.04,2.0302
62,66.74,2.0212
63,67.44,2.0118
64,68.22,2.0025
65,68.71,1.9931
66,68.94,1.9838
67,69.85,1.9741
68,70.49,1.9643
69,71.03,1.9544
70,71.47,1.9445
71,72.17,1.9341
72,72.61,1.9240
73,73.29,1.9137
74,73.83,1.9033
75,74.29,1.8928
76,74.90,1.8824
77,75.36,1.8717
78,75.65,1.8612
79,76.27,1.8501
80,76.62,1.8395
81,76.96,1.8284
82,77.55,1.8174
83,77.89,1.8064
84,78.03,1.7956
85,78.48,1.7847
86,79.17,1.7730
87,79.49,1.7617
88,79.63,1.7506
89,80.06,1.7391
90,80.58,1.7276
91,80.83,1.7162
92,81.11,1.7049
93,81.47,1.6935
94,81.68,1.6817
95,81.83,1.6704
96,82.32,1.6585
97,82.39,1.6472
98,82.80,1.6351
99,83.15,1.6233
100,83.42,1.6114
