Round,Accuracy,Average Loss
1,10.00,2.3022
2,22.18,1.9178
3,26.51,2.0610
4,26.36,1.9318
5,32.85,1.8438
6,34.83,1.6728
7,40.31,1.5925
8,42.98,1.4730
9,47.28,1.4208
10,48.60,1.3498
11,51.85,1.3212
12,54.24,1.2530
13,58.34,1.1623
14,58.84,1.1314
15,62.90,1.0550
16,62.88,1.0162
17,66.31,0.9569
18,66.77,0.9360
19,68.09,0.9011
20,68.47,0.8938
21,70.41,0.8430
22,70.48,0.8462
23,71.80,0.8143
24,71.36,0.8150
25,72.69,0.7885
26,73.90,0.7658
27,75.14,0.7205
28,75.03,0.7373
29,75.61,0.7069
30,75.73,0.7016
31,77.79,0.6541
32,77.61,0.6589
33,77.85,0.6566
34,77.56,0.6687
35,77.93,0.6625
36,78.85,0.6357
37,79.16,0.6290
38,79.06,0.6238
39,79.71,0.6064
40,80.29,0.5915
41,80.73,0.5736
42,80.84,0.5728
43,80.67,0.5896
44,80.73,0.5704
45,80.81,0.5777
46,81.27,0.5639
47,81.81,0.5471
48,81.52,0.5463
49,81.91,0.5506
50,81.84,0.5433
51,81.98,0.5598
52,81.82,0.5532
53,82.31,0.5311
54,82.71,0.5105
55,83.36,0.5094
56,83.62,0.4917
57,83.43,0.4957
58,82.88,0.5073
59,83.60,0.4923
60,83.15,0.5130
61,83.70,0.5054
62,83.82,0.4925
63,84.14,0.4903
64,84.04,0.4791
65,83.63,0.4993
66,84.36,0.4790
67,84.42,0.4846
68,83.59,0.4978
69,84.42,0.4872
70,83.91,0.4923
71,84.21,0.4871
72,84.12,0.4954
73,83.54,0.5268
74,83.40,0.5120
75,83.73,0.5244
76,83.23,0.5088
77,84.13,0.4952
78,83.63,0.4951
79,84.24,0.5052
80,84.92,0.4729
81,85.24,0.4686
82,84.84,0.4679
83,85.51,0.4774
84,84.80,0.4617
85,84.82,0.4948
86,84.66,0.4641
87,85.62,0.4590
88,85.13,0.4631
89,85.56,0.4783
90,85.02,0.4587
91,85.08,0.4911
92,84.91,0.4629
93,85.13,0.5071
94,85.11,0.4582
95,85.36,0.4809
96,86.00,0.4312
97,85.26,0.4872
98,85.26,0.4743
99,85.96,0.4589
100,85.49,0.4617
101,85.82,0.4553
102,85.92,0.4623
103,85.32,0.4622
104,86.16,0.4579
105,85.66,0.4685
106,86.16,0.4531
107,85.61,0.4539
108,86.36,0.4550
109,86.23,0.4358
110,86.17,0.4588
111,86.24,0.4406
112,86.60,0.4380
113,86.03,0.4534
114,86.84,0.4347
115,85.95,0.4676
116,86.59,0.4337
117,85.73,0.4658
118,86.46,0.4461
119,86.22,0.4629
120,86.57,0.4425
121,85.91,0.4664
122,86.48,0.4384
123,86.31,0.4697
124,86.53,0.4424
125,86.47,0.4698
126,86.59,0.4428
127,86.13,0.4801
128,86.54,0.4442
129,86.66,0.4657
130,86.54,0.4465
131,86.34,0.4701
132,86.57,0.4557
133,86.48,0.4826
134,86.09,0.4652
135,86.66,0.4697
136,86.75,0.4571
137,86.81,0.4494
138,86.54,0.4784
139,86.71,0.4716
140,86.82,0.4618
141,86.89,0.4664
142,86.93,0.4678
143,87.12,0.4569
144,86.97,0.4620
145,87.03,0.4584
146,86.63,0.4792
147,86.44,0.4764
148,86.54,0.5080
149,87.15,0.4618
150,86.79,0.4826
